Name;HP;Gold;Exp;Damage;Hits;Hit Change;Status;Crit Chance;Absorb;Evade;Magic Defence;Run Level;Magic;Special Attack;Family;Weakness;Resists
IMP;8;6 G;6;4;1;85;-;1;4;3;8;13;0;0;Giant;-;-
GrIMP;16;18 G;18;8;1;86;-;1;6;5;12;20;0;0;Giant;-;-
WOLF;20;6 G;24;8;1;86;-;1;0;18;14;13;0;0;-;-;-
GrWOLF;72;22 G;93;14;1;93;-;1;0;27;23;14;0;0;-;-;-
WrWOLF;68;67 G;135;14;1;92;Poison;1;6;21;23;20;0;0;Magic Beast, Werebeast, Regenerating;-;-
FrWOLF;92;200 G;402;25;1;95;-;1;0;27;28;-;0;25;-;Fire;Cold
IGUANA;92;50 G;153;18;1;95;-;5;12;12;28;27;0;0;Dragon;-;-
AGAMA;296;1,200 G;2472;31;2;120;-;1;18;18;72;-;0;25;Dragon;Cold;Fire
SAURIA;196;658 G;1977;30;1;110;-;1;20;12;46;-;0;50;Dragon;-;-
GIANT;240;879 G;879;38;1;113;-;1;12;24;60;28;0;0;Giant;-;-
FrGIANT;336;1,752 G;1752;60;1;122;-;1;16;24;75;-;0;0;Giant;Fire;Cold
R.GIANT;300;1,506 G;1506;73;1;125;-;1;20;24;68;-;0;0;Giant;Cold;Fire
SAHAG;28;30 G;30;10;1;87;-;1;4;36;14;15;0;0;Aquatic;Lightning;Fire, Earth
R.SAHAG;64;105 G;105;15;1;92;-;1;8;39;23;31;0;0;Aquatic;Lightning;Fire, Earth
WzSAHAG;204;882 G;882;47;1;109;-;1;20;48;51;-;0;0;Aquatic;Lightning;Fire, Earth
PIRATE;6;40 G;40;8;1;85;-;1;0;6;8;-;0;0;-;-;-
KYZOKU;50;120 G;60;14;1;90;-;1;6;12;19;13;0;0;-;-;Earth
SHARK;120;66 G;267;22;1;99;-;1;0;36;35;21;0;0;Aquatic;Lightning;Fire, Earth
GrSHARK;344;600 G;2361;50;1;126;-;1;8;36;85;-;0;0;Aquatic;Lightning;Fire, Earth
OddEYE;10;10 G;42;4;1;85;-;1;0;42;7;15;0;100;-;Lightning;Fire, Earth
BigEYE;304;3,591 G;3591;30;2;121;-;1;16;12;78;-;0;50;Aquatic;Lightning;Fire, Earth
BONE;10;3 G;9;10;1;85;-;1;0;6;9;22;0;0;Undead;Fire;Status, Poison, Death, Cold
R.BONE;144;378 G;378;26;1;101;-;1;12;21;38;38;0;0;Undead;Fire;Status, Poison, Death, Cold
CREEP;56;15 G;63;17;1;91;-;1;8;12;20;12;0;0;-;Fire;-
CRAWL;84;200 G;186;1;8;94;Paralysis;1;8;21;26;13;0;0;-;-;-
HYENA;120;72 G;288;22;1;99;-;1;4;24;38;21;0;0;-;-;-
CEREBUS;192;600 G;1182;30;1;107;-;1;8;24;52;33;0;50;-;Cold;-
OGRE;100;195 G;195;18;1;96;-;1;10;9;33;18;0;0;Giant;-;-
GrOGRE;132;300 G;282;23;1;100;-;1;14;15;36;23;0;0;Giant;-;-
WzOGRE;144;723 G;723;23;1;101;-;1;10;27;40;27;50;0;Giant, Spellcaster, Regenerating;-;Earth
ASP;56;50 G;123;6;1;91;Poison;1;6;15;23;14;0;0;Dragon;-;-
COBRA;80;50 G;165;22;1;94;-;16;10;18;28;15;0;0;Dragon;-;-
SeaSNAKE;224;600 G;957;35;1;111;-;0;12;24;58;-;0;0;Dragon, Aquatic;Lightning;Fire, Earth
SCORPION;84;70 G;225;22;2;94;Poison;1;10;27;28;16;0;0;-;-;-
LOBSTER;148;300 G;639;35;3;102;Poison;1;18;30;43;-;0;0;Aquatic;Lightning;Fire, Earth
BULL;164;489 G;489;22;2;104;-;1;4;24;48;22;0;0;-;-;-
ZomBULL;224;1,050 G;1050;40;1;111;-;1;14;18;58;28;0;0;Undead;Fire;Status, Poison, Death, Cold
TROLL;184;621 G;621;24;3;106;-;1;12;24;50;28;0;0;Regenerating;Fire;-
SeaTROLL;216;852 G;852;40;1;110;-;1;20;24;55;-;0;0;Aquatic, Regenerating;Lightning;Earth
SHADOW;50;45 G;90;10;1;90;Darkness;1;0;18;19;22;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
IMAGE;86;231 G;231;22;1;95;Paralysis;1;4;45;26;40;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
WRAITH;114;432 G;432;40;1;98;Paralysis;1;12;54;34;40;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
